place_id,name,sector_name,province,lat,lng,business_status,competitor_density,foot_traffic_score,infrastructure_score,income_proxy,transit_stops_nearby,google_rating,review_count,price_level,years_operational,is_chain,has_photos,label
ChIJ4xdJmNem3BkRduSfESwuhgQ,Pili Pili,Kimironko,Kigali,-1.931313,30.110264,OPERATIONAL,12,4.0,10.0,600000.0,6,4.1,2841,2,18.9,0,1,1
ChIJsX50Qt2m3BkRf0gNOEVeLAg,Mr Chips,Kimironko,Kigali,-1.92301,30.107552,OPERATIONAL,2,0.93,10.0,600000.0,4,4.1,568,2,3.8,0,1,1
ChIJI8C8llyn3BkR_wMkoKxAoV8,Kultura,Kimironko,Kigali,-1.928374,30.109783,OPERATIONAL,8,2.6,10.0,350000.0,6,4.5,228,1,1.5,0,1,1
ChIJyVfXkMSm3BkRnnVUTCQN1Kg,Dae Jang Geum Korean Restaurant,Kimironko,Kigali,-1.930046,30.110529,OPERATIONAL,12,3.87,10.0,600000.0,6,4.3,259,2,1.7,0,1,1
ChIJvdmTwNmm3BkREgGIQulYRoQ,Caiman,Kimironko,Kigali,-1.933434,30.108585,OPERATIONAL,6,2.13,10.0,600000.0,6,3.9,183,2,1.2,0,1,1
ChIJac2Vv2un3BkRNmzEC077J9o,Shaly's VIP Lounge,Kimironko,Kigali,-1.933685,30.107941,OPERATIONAL,6,2.13,10.0,350000.0,6,3.7,3,1,0.5,0,1,0
ChIJycd1Aaan3BkRqp5LDr79avQ,Sizzling Plates Restaurant,Kimironko,Kigali,-1.931811,30.110608,OPERATIONAL,12,4.0,10.0,350000.0,6,4.5,133,1,0.9,0,1,1
ChIJwQBka9qn3BkRwzt13x0LhgQ,BALABALA,Kimironko,Kigali,-1.928692,30.111016,OPERATIONAL,11,3.53,10.0,350000.0,5,5.0,2,1,0.5,0,1,0
ChIJKUhowGOn3BkRCjIasdrU6zA,Mama Pizzalo,Kimironko,Kigali,-1.932905,30.11071,OPERATIONAL,11,3.73,10.0,350000.0,5,4.2,39,1,0.5,1,1,1
ChIJcyM8nXCn3BkR76DTb5z7eoQ,Pad Thai Restaurant,Kimironko,Kigali,-1.927044,30.11086,OPERATIONAL,9,3.0,10.0,350000.0,5,4.4,132,1,0.9,0,1,1
ChIJ72A8AQCn3BkRIdL8mSbt7oo,77 Chinese BBQ.77中式烤肉,Kimironko,Kigali,-1.935123,30.107722,OPERATIONAL,4,1.4,10.0,350000.0,5,5.0,2,1,0.5,0,1,0
ChIJxwe4PwCn3BkRiqlRXWoUfws,LCY Restaurant,Kimironko,Kigali,-1.929281,30.112589,OPERATIONAL,11,3.53,10.0,350000.0,5,3.7,22,1,0.5,0,1,0
ChIJGdApSACn3BkR_ccO4GPiR_Y,Chez Mama Bella,Kimironko,Kigali,-1.929833,30.113164,OPERATIONAL,12,4.07,6.0,350000.0,4,3.5,0,1,0.5,0,0,0
ChIJK0jdNQCn3BkR1RROKzcdoXo,EyaMya Restaurant,Kimironko,Kigali,-1.924411,30.108945,OPERATIONAL,3,1.13,10.0,350000.0,4,4.8,44,1,0.5,0,1,1
ChIJXY8FHLSn3BkRABOoHfe2FgE,Caravan Cuisine,Kimironko,Kigali,-1.925913,30.102873,OPERATIONAL,5,1.8,10.0,350000.0,4,1.0,1,1,0.5,0,1,0
ChIJIcaxSQCn3BkR5DDRl5CPiL8,nyarutarama,Kimironko,Kigali,-1.92624,30.101653,OPERATIONAL,6,2.2,9.0,350000.0,4,4.0,1,1,0.5,0,1,0
ChIJC2wpKcun3BkRo49CGPqfE5M,The Fork Kibagabaga,Kimironko,Kigali,-1.931692,30.114311,OPERATIONAL,10,3.53,10.0,350000.0,4,3.8,47,1,0.5,0,1,1
ChIJUZWSa7yn3BkR6-pI1_ZJCAM,Inyambo O'Restaurant & Coffee shop,Kimironko,Kigali,-1.928664,30.114471,CLOSED_TEMPORARILY,7,2.27,9.0,350000.0,3,4.3,22,1,0.5,0,1,0
ChIJA31XIqGn3BkRz4TjZ07HSIw,ViaVia Kigali,Kimironko,Kigali,-1.933971,30.113647,CLOSED_TEMPORARILY,5,2.07,9.0,350000.0,3,4.5,75,1,0.5,0,1,0
ChIJadVRec6m3BkRx-rvgCQbyEI,Elevate Suites Hotel,Kimironko,Kigali,-1.928896,30.098558,OPERATIONAL,5,2.07,9.0,350000.0,3,4.0,200,1,1.3,0,1,1
ChIJ_xtmX0Gh3BkR4Vj5hrFEzJ4,Destiny Bar & Restaurant,Kimironko,Kigali,-1.923383,30.103561,OPERATIONAL,4,1.47,10.0,350000.0,3,4.4,14,1,0.5,0,1,0
ChIJ6xZia0Sn3BkR44eawuloPq4,Orestaurant,Kimironko,Kigali,-1.927786,30.114915,CLOSED_TEMPORARILY,6,2.0,9.0,350000.0,3,4.1,35,1,0.5,0,1,0
ChIJk7RRlFGn3BkRxZHVWs2ALiM,Cave Coffee,Kimironko,Kigali,-1.926643,30.100201,OPERATIONAL,5,1.87,10.0,350000.0,3,4.3,117,1,0.8,0,1,1
ChIJVQcJcACh3BkR_fASR7NB5Dg,OGO DELICACY,Kimironko,Kigali,-1.923053,30.102755,OPERATIONAL,4,1.53,6.0,350000.0,3,3.5,0,1,0.5,0,0,0
ChIJrVSMUYCn3BkRJx1FiZ-ujDk,17 Blocks Restaurant,Kimironko,Kigali,-1.932074,30.09886,OPERATIONAL,2,1.13,10.0,350000.0,3,5.0,2,1,0.5,0,1,0
ChIJEaGQRo-n3BkRKeMmcOMNqm8,Bel Ombre Hotel,Kimironko,Kigali,-1.932037,30.09881,OPERATIONAL,2,1.13,10.0,600000.0,3,4.4,61,2,0.5,0,1,1
ChIJ59PCeden3BkRlUWxYk17dyE,Rolex and Grills,Kimironko,Kigali,-1.937437,30.102348,OPERATIONAL,0,0.27,8.5,350000.0,3,3.0,2,1,0.5,0,0,0
ChIJ4fjSfZWn3BkRQuCo3SyTjgs,GotBuns!,Kimironko,Kigali,-1.927223,30.098903,OPERATIONAL,4,1.6,10.0,350000.0,2,4.0,52,1,0.5,0,1,1
ChIJ0Ue6Bwmn3BkReKlT2Lhdtjw,Kigali Five Star Restaurant,Remera,Kigali,-1.949131,30.115202,OPERATIONAL,18,5.87,8.5,350000.0,7,3.5,0,1,0.5,0,1,0
